date,num_positions,balance,total,profit_perc,note
5/9/2016,42,$58305.62,$100000.00,0.00%,
5/10/2016,42,$58305.62,$100000.00,0.00%,
5/11/2016,82,$18323.34,$99977.98,-0.02%,
5/12/2016,99,$525.32,$99531.73,-0.47%,
5/13/2016,99,$489.09,$99434.84,-0.57%,
5/16/2016,99,$489.09,$99434.84,-0.57%,
5/17/2016,99,$696.70,$99556.38,-0.44%,
5/18/2016,100,$60.55,$99345.18,-0.65%,
5/19/2016,101,$17.44,$99772.74,-0.23%,
5/20/2016,101,$205.70,$99584.71,-0.42%,
5/23/2016,101,$205.70,$99584.71,-0.42%,
5/24/2016,101,$560.21,$99987.02,-0.01%,
5/25/2016,101,$603.58,$100177.09,0.18%,
5/26/2016,88,$12912.52,$100455.61,0.46%,
5/27/2016,92,$8646.82,$100691.22,0.69%,
5/31/2016,68,$35372.87,$104652.70,4.65%,
6/1/2016,78,$25095.69,$104672.32,4.67%,
6/2/2016,78,$25760.17,$105299.70,5.30%,
6/3/2016,73,$31556.24,$106072.65,6.07%,
6/6/2016,73,$31556.24,$106072.65,6.07%,
6/7/2016,68,$36601.70,$106066.01,6.07%,
6/8/2016,59,$46082.21,$106574.12,6.57%,
6/9/2016,53,$52473.59,$106843.66,6.84%,
6/10/2016,71,$33838.21,$106843.66,6.84%,
6/13/2016,91,$13732.92,$106843.66,6.84%,
6/14/2016,104,$687.92,$106854.69,6.85%,
6/15/2016,104,$814.17,$106965.23,6.97%,
6/16/2016,102,$3004.94,$106754.77,6.75%,
6/17/2016,98,$6376.04,$105823.73,5.82%,
6/20/2016,98,$6376.04,$105823.73,5.82%,
6/21/2016,98,$6376.04,$105823.73,5.82%,
6/22/2016,52,$53883.99,$106456.54,6.46%,
6/23/2016,55,$51010.21,$106535.71,6.54%,
6/24/2016,51,$54288.80,$105305.55,5.31%,
6/27/2016,105,$3624.59,$105305.55,5.31%,
6/28/2016,109,$430.90,$105455.53,5.46%,
6/29/2016,94,$17055.41,$106883.04,6.88%,
6/30/2016,94,$17055.41,$106883.04,6.88%,
7/6/2016,67,$43708.61,$106891.46,6.89%,
7/8/2016,70,$41146.71,$107405.89,7.41%,
7/12/2016,38,$72773.12,$109084.06,9.08%,
7/13/2016,36,$74170.81,$109064.50,9.06%,
7/14/2016,42,$68337.42,$109106.63,9.11%,
7/15/2016,32,$77911.79,$109222.84,9.22%,
7/18/2016,28,$82514.70,$110175.21,10.18%,
7/19/2016,16,$95410.07,$111284.77,11.28%,
7/20/2016,20,$90560.43,$111284.77,11.28%,
7/21/2016,24,$85751.00,$111284.36,11.28%,
7/22/2016,25,$86425.68,$111276.36,11.28%,
7/26/2016,25,$86425.68,$111276.36,11.28%,
7/27/2016,31,$80157.93,$111234.88,11.23%,
7/28/2016,28,$83572.27,$111263.96,11.26%,
7/29/2016,40,$71828.43,$111263.96,11.26%,
8/1/2016,49,$62939.01,$111479.86,11.48%,
8/2/2016,65,$46297.20,$111467.86,11.47%,
8/3/2016,76,$37246.60,$111461.55,11.46%,
8/4/2016,96,$19776.99,$111636.41,11.64%,
8/5/2016,105,$13440.85,$112692.19,12.69%,
8/8/2016,111,$8265.42,$112725.73,12.73%,
8/9/2016,120,$339.58,$113192.96,13.19%,
8/10/2016,107,$15036.88,$113472.93,13.47%,
8/11/2016,124,$599.09,$112819.90,12.82%,
8/15/2016,125,$323.60,$113200.88,13.20%,
8/16/2016,125,$475.69,$113273.69,13.27%,
8/17/2016,97,$26794.32,$113630.45,13.63%,
8/18/2016,125,$256.21,$113662.64,13.66%,
8/19/2016,126,$464.70,$113604.99,13.60%,
8/22/2016,121,$1959.32,$113356.02,13.36%,
8/23/2016,115,$6878.34,$114364.11,14.36%,
8/24/2016,121,$711.81,$114360.11,14.36%,
8/25/2016,120,$239.59,$113775.43,13.78%,
8/26/2016,120,$84.17,$113752.75,13.75%,
8/29/2016,119,$550.09,$113671.45,13.67%,
8/30/2016,119,$655.32,$113768.46,13.77%,
8/31/2016,118,$867.70,$113404.15,13.40%,
9/1/2016,116,$660.65,$112837.80,12.84%,
9/2/2016,116,$721.99,$112929.80,12.93%,
9/6/2016,116,$841.95,$113547.12,13.55%,
9/7/2016,116,$13.36,$113528.63,13.53%,
9/8/2016,116,$431.03,$113872.21,13.87%,
9/9/2016,116,$431.03,$113872.21,13.87%,
9/12/2016,116,$576.75,$113949.23,13.95%,
9/13/2016,114,$114.37,$112847.44,12.85%,
9/15/2016,114,$487.25,$113039.49,13.04%,
9/16/2016,105,$8229.52,$112464.29,12.46%,
9/19/2016,112,$853.56,$112115.92,12.12%,
9/20/2016,101,$11590.56,$111833.85,11.83%,
9/21/2016,112,$383.22,$111857.39,11.86%,
9/22/2016,100,$13129.87,$112510.31,12.51%,
9/23/2016,55,$54059.50,$109185.97,9.19%,Sold CXW position
9/26/2016,62,$47020.46,$109159.60,9.16%,
9/27/2016,57,$62232.51,$119412.88,19.41%,Sold RGSE position
9/28/2016,63,$55886.25,$119150.75,19.15%,
