date,balance,profit_perc
1/8/2017,$10000,0.00%
1/9/2017,$10541,5.41%
1/10/2017,$10819,8.19%
1/11/2017,$12564,25.64%
1/12/2017,$11568,15.68%
1/17/2017,$11933,19.33%
1/18/2017,$13504,35.04%
1/19/2017,$13491,34.91%
1/20/2017,$13588,35.88%
1/23/2017,$14558,45.58%
1/24/2017,$14769,47.69%
1/25/2017,$15315,53.15%
1/26/2017,$15872,58.72%
1/27/2017,$15743,57.43%
1/30/2017,$14377,43.77%
1/31/2017,$15420,54.20%
2/1/2017,$15145,51.45%
2/2/2017,$17111,71.11%
2/3/2017,$16541,65.41%
2/6/2017,$17115,71.15%
2/7/2017,$18451,84.51%
2/8/2017,$20025,100.25%
2/9/2017,$21575,115.75%
2/10/2017,$21680,116.80%
2/13/2017,$20858,108.58%
2/14/2017,$18987,89.87%
2/15/2017,$19651,96.51%
2/16/2017,$21421,114.21%
2/17/2017,$21547,115.47%
2/21/2017,$21850,118.50%
2/22/2017,$22241,122.41%
2/23/2017,$18829,88.29%
2/24/2017,$21050,110.50%
2/27/2017,$21693,116.93%
2/28/2017,$20802,108.02%
3/1/2017,$21481,114.81%
3/2/2017,$21365,113.65%
3/3/2017,$21025,110.25%
3/6/2017,$21317,113.17%
3/7/2017,$21951,119.51%
3/8/2017,$22634,126.34%
3/9/2017,$23887,138.87%
3/10/2017,$24408,144.08%
3/13/2017,$25064,150.64%
3/14/2017,$23421,134.21%
3/15/2017,$21335,113.35%
3/16/2017,$26027,160.27%
3/17/2017,$28179,181.79%
3/20/2017,$30065,200.65%
3/21/2017,$25752,157.52%
3/22/2017,$28095,180.95%
3/23/2017,$30447,204.47%
3/24/2017,$30860,208.60%
3/27/2017,$34352,243.52%
3/28/2017,$36985,269.85%
3/29/2017,$39833,298.33%
3/30/2017,$43678,336.78%
3/31/2017,$46253,362.53%
4/3/2017,$47025,370.25%
4/4/2017,$47561,375.61%
4/5/2017,$46807,368.07%
4/6/2017,$49899,398.99%
4/7/2017,$50544,405.44%
4/10/2017,$50951,409.51%
4/11/2017,$49484,394.84%
4/12/2017,$49939,399.39%
4/13/2017,$53467,434.67%
4/17/2017,$53599,435.99%
4/18/2017,$53087,430.87%
4/19/2017,$53527,435.27%
4/20/2017,$54775,447.75%4/20/2017,$54775,447.75%
4/20/2017,$54775,447.75%
4/21/2017,$55237,452.37%
4/24/2017,$55451,454.51%
4/25/2017,$55819,458.19%
4/26/2017,$56451,464.51%
4/27/2017,$58141,481.41%
4/28/2017,$58663,486.63%
5/1/2017,$59118,491.18%
5/2/2017,$59033,490.33%
5/3/2017,$59264,492.64%
5/4/2017,$59509,495.09%
