date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/1/2010,oakland-athletics,baltimore-orioles,58.67%,-142,142,-147,125,5,17,$100,$68.03,$168.03,$100,$68.03,$168.03,,,,,,,,,,,,
7/1/2010,cincinnati-reds,chicago-cubs,55.39%,-124,124,118,-136,42,60,$100,$118.00,$218.00,$100,$73.53,$0,$100,$118.00,$218.00,$100,$118.00,$218.00,$100,$118.00,$218.00,,,
7/1/2010,toronto-blue-jays,cleveland-indians,56.40%,-129,129,-131,114,2,15,$100,$76.34,$0,$100,$76.34,$0,,,,,,,,,,,,
7/1/2010,san-francisco-giants,colorado-rockies,-54.34%,119,-119,127,-147,8,28,$100,$68.03,$168.03,$100,$68.03,$168.03,$100,$127.00,$0,,,,,,,,,
7/1/2010,houston-astros,san-diego-padres,-59.88%,149,-149,195,-232,46,83,$100,$43.10,$0,$100,$43.10,$0,$100,$195.00,$295.00,,,,,,,$100,$195.00,$295.00
7/1/2010,texas-rangers,los-angeles-angels,55.89%,-127,127,110,-128,37,55,$100,$110.00,$0,$100,$78.13,$178.13,$100,$110.00,$0,$100,$110.00,$0,$100,$110.00,$0,,,
7/1/2010,tampa-bay-rays,minnesota-twins,51.08%,-104,104,100,-117,4,21,$100,$100.00,$200.00,$100,$85.47,$0,$100,$100.00,$200.00,$100,$100.00,$200.00,$100,$100.00,$200.00,,,
7/1/2010,new-york-mets,washington-nationals,57.05%,-133,133,-135,117,2,16,$100,$74.07,$0,$100,$74.07,$0,,,,,,,,,,,,
7/1/2010,seattle-mariners,new-york-yankees,-60.56%,154,-154,301,-384,147,30,$100,$26.04,$126.04,$100,$26.04,$126.04,$100,$301.00,$0,,,,,,,$100,$301.00,$0
7/1/2010,philadelphia-phillies,pittsburgh-pirates,59.57%,-147,147,-196,167,49,20,$100,$51.02,$0,$100,$51.02,$0,$100,$167.00,$267.00,,,,,,,,,
,,,,,,,,,,$1000,-$119.90,-11.99%,$1000,-$359.78,-35.98%,$700,$280.00,40.00%,$300,$118.00,39.33%,$300,$118.00,39.33%,$200,$95.00,47.50%
7/2/2010,los-angeles-dodgers,arizona-diamondbacks,57.81%,-137,137,-126,106,11,31,$100,$79.37,$0,$100,$79.37,$0,$100,$79.37,$0,$100,$79.37,$0,,,,,,
7/2/2010,baltimore-orioles,boston-red-sox,-61.67%,161,-161,193,-232,32,71,$100,$43.10,$143.10,$100,$43.10,$143.10,$100,$193.00,$0,,,,,,,,,
7/2/2010,cincinnati-reds,chicago-cubs,55.68%,-126,126,119,-140,45,66,$100,$119.00,$219.00,$100,$71.43,$0,$100,$119.00,$219.00,$100,$119.00,$219.00,$100,$119.00,$219.00,$100,$119.00,$219.00
7/2/2010,chicago-white-sox,texas-rangers,-56.59%,130,-130,139,-166,9,36,$100,$60.24,$0,$100,$60.24,$0,$100,$139.00,$239.00,,,,,,,,,
7/2/2010,oakland-athletics,cleveland-indians,55.20%,-123,123,-121,100,2,23,$100,$82.64,$182.64,$100,$82.64,$182.64,$100,$82.64,$182.64,$100,$82.64,$182.64,,,,,,
7/2/2010,san-francisco-giants,colorado-rockies,-56.84%,132,-132,-112,-106,44,26,$100,$94.34,$194.34,$100,$89.29,$0,$100,$94.34,$194.34,$100,$94.34,$194.34,,,,,,
7/2/2010,seattle-mariners,detroit-tigers,-57.96%,138,-138,144,-172,6,34,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$144.00,$0,,,,,,,,,
7/2/2010,houston-astros,san-diego-padres,-59.67%,148,-148,149,-175,1,27,$100,$57.14,$157.14,$100,$57.14,$157.14,$100,$149.00,$0,,,,,,,,,
7/2/2010,kansas-city-royals,los-angeles-angels,-55.04%,122,-122,139,-163,17,41,$100,$61.35,$0,$100,$61.35,$0,$100,$139.00,$239.00,,,,,,,,,
7/2/2010,tampa-bay-rays,minnesota-twins,53.46%,-115,115,-121,102,6,13,$100,$82.64,$0,$100,$82.64,$0,,,,,,,,,,,,
7/2/2010,new-york-mets,washington-nationals,56.78%,-131,131,-117,-101,14,32,$100,$85.47,$185.47,$100,$85.47,$185.47,$100,$85.47,$185.47,$100,$85.47,$185.47,,,,,,
7/2/2010,toronto-blue-jays,new-york-yankees,-57.19%,134,-134,156,-185,22,51,$100,$54.05,$0,$100,$54.05,$0,$100,$156.00,$256.00,,,,,,,,,
7/2/2010,philadelphia-phillies,pittsburgh-pirates,59.44%,-147,147,-149,127,2,20,$100,$67.11,$0,$100,$67.11,$0,,,,,,,,,,,,
,,,,,,,,,,$1300,-$60.16,-4.63%,$1300,-$473.50,-36.42%,$1100,$415.45,37.77%,$500,$281.45,56.29%,$100,$119.00,119.00%,$100,$119.00,119.00%
7/3/2010,los-angeles-dodgers,arizona-diamondbacks,57.06%,-133,133,-158,135,25,2,$100,$63.29,$163.29,$100,$63.29,$163.29,$100,$135.00,$0,,,,,,,,,
7/3/2010,baltimore-orioles,boston-red-sox,-61.91%,163,-163,246,-303,83,140,$100,$33.00,$133.00,$100,$33.00,$133.00,$100,$246.00,$0,,,,,,,$100,$246.00,$0
7/3/2010,cincinnati-reds,chicago-cubs,57.41%,-135,135,-120,100,15,35,$100,$83.33,$0,$100,$83.33,$0,$100,$83.33,$0,$100,$83.33,$0,,,,,,
7/3/2010,chicago-white-sox,texas-rangers,-55.97%,127,-127,138,-163,11,36,$100,$61.35,$161.35,$100,$61.35,$161.35,$100,$138.00,$0,,,,,,,,,
7/3/2010,oakland-athletics,cleveland-indians,55.67%,-126,126,-104,-111,22,37,$100,$96.15,$0,$100,$90.09,$190.09,$100,$96.15,$0,$100,$96.15,$0,,,,,,
7/3/2010,san-francisco-giants,colorado-rockies,-58.50%,141,-141,185,-222,44,81,$100,$45.05,$0,$100,$45.05,$0,$100,$185.00,$285.00,,,,,,,,,
