date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
6/29/2016,Boston-Red-Sox,Tampa-Bay-Rays,57.1%,-133,133,-170,150,37,17,$100,$150,$250,,,,,,,,,
6/29/2016,Chicago-Cubs,Cincinnati-Reds,60.8%,-155,155,-220,180,65,25,$100,$155,$0,,,,,,,,,
6/29/2016,Baltimore-Orioles,San-Diego-Padres,58.0%,-138,138,-140,120,2,18,$100,$71.4,$171.4,,,,,,,,,
6/29/2016,Philadelphia-Phillies,Arizona-Diamondbacks,-51.9%,108,-108,145,-165,37,57,$100,$145,$245,,,,,,,,,
6/29/2016,Texas-Rangers,New-York-Yankees,57.3%,-134,134,165,-180,99,114,$100,$165,$0,$100,$165,$0,$100,$165,$0,$100,$165,$0
6/29/2016,Los-Angeles-Dodgers,Milwaukee-Brewers,56.7%,-131,131,-115,-105,16,36,$100,$87,$0,$100,$87,$0,,,,,,
6/29/2016,Minnesota-Twins,Chicago-White-Sox,-58.0%,138,-138,-110,-110,48,28,$100,$91,$191,$100,$91,$191,,,,,,
6/29/2016,Kansas-City-Royals,St.-Louis-Cardinals,-53.4%,114,-114,150,-170,36,56,$100,$150,$250,,,,,,,,,
6/29/2016,San-Francisco-Giants,Oakland-Athletics,58.5%,-140,140,-115,-105,25,45,$100,$87,$0,$100,$87,$0,,,,,,
6/29/2016,Pittsburgh-Pirates,Seattle-Mariners,-57.2%,133,-133,110,-130,23,3,$100,$77,$0,,,,,,,,,
,,,,,,,,,,$900,$36,4%,$400,-$209,-52.25%,$100,-$100,-100%,$100,-$100,-100%
6/30/2016,Texas-Rangers,New-York-Yankees,57.3%,-134,134,107,-125,41,59,$100,$107,$0,$100,$107,$0,$100,$107,$0,,,
6/30/2016,Los-Angeles-Dodgers,Milwaukee-Brewers,56.0%,-127,127,-142,132,15,5,$100,$132,$0,,,,,,,,,
6/30/2016,Minnesota-Twins,Chicago-White-Sox,-58.3%,140,-140,145,-160,5,20,$100,$145,$0,,,,,,,,,
6/30/2016,Cincinnati-Reds,Washington-Nationals,-60.7%,155,-155,180,,25,,$100,$180,$0,,,,,,,,,
6/30/2016,Cleveland-Indians,Tonronto-Blue-Jays,56.0%,-128,128,-123,113,5,15,$100,$81.4,$181.4,$100,$81.4,$181.4,,,,,,
6/30/2016,Chicago-Cubs,New-York-Mets,59.0%,-143,143,-140,130,3,13,$100,$71.4,$0,,,,,,,,,
6/30/2016,Detroit-Tigers,Tampa-Bay-Rays,53.9%,-117,117,-100,-110,17,27,$100,$100,$200,$100,$100,$200,,,,,,
6/30/2016,Miami-Marlins,Atlanta-Braves,58.8%,-142,142,,,,,,,,,,,,,,,,
6/30/2016,Kansas-City-Royals,St.-Louis-Cardinals,-53.3%,114,-114,150,,36,,$100,$150,$250,,,,,,,,,
6/30/2016,San-Francisco-Giants,Oakland-Athletics,57.8%,-137,137,,135,,27,,,,,,,,,,,,
6/30/2016,Baltimore-Orioles,Seattle-Mariners,55.8%,-126,126,140,-200,66,126,$100,$140,$0,$100,$140,$0,$100,$140,$0,$100,$140,$0
,,,,,,,,,,$1000,-$368.6,-36.86%,$400,$18.6,4.65%,$200,-$200,-100%,$100,-$100,-100%
7/1/2016,Cleveland-Indians,Tonronto-Blue-Jays,56.4%,-129,129,119,-129,48,27,$100,$119,$219,$100,$119,$219,$100,$119,$219,$100,$119,$219
7/1/2016,Cincinnati-Reds,Washington-Nationals,-61.0%,155,-155,165,-185,10,28,$100,$165,$0,,,,,,,,,
7/1/2016,Kansas-City-Royals,Philadelphia-Phillies,56.4%,-128,129,-125,115,3,29,$100,$80,$0,$100,$80,$0,,,,,,
7/1/2016,Detroit-Tigers,Tampa-Bay-Rays,54.8%,-121,121,-114,104,7,30,$100,$87.8,$187.8,$100,$87.8,$187.8,,,,,,
7/1/2016,Los-Angeles-Angels,Boston-Red-Sox,-57.6%,135,-135,190,-220,55,31,$100,$190,$0,,,,,,,$100,$190,$0
7/1/2016,Chicago-Cubs,New-York-Mets,58.8%,-142,142,-114,104,28,32,$100,$87.8,$0,$100,$87.8,$0,,,,,,
7/1/2016,Miami-Marlins,Atlanta-Braves,58.1%,-139,139,104,-114,43,33,$100,$104,$204,$100,$104,$204,$100,$104,$204,,,
7/1/2016,Chicago-White-Sox,Houston-Astros,-55.3%,124,-124,155,-170,31,34,$100,$155,$0,,,,,,,,,
7/1/2016,Texas-Rangers,Minnesota-Twins,61.4%,-159,159,-111,101,48,35,$100,$90.1,$190.1,$100,$90.1,$190.1,,,,$100,$90.1,$190.1
7/1/2016,Milwaukee-Brewers,St.-Louis-Cardinals,-57.0%,132,-132,162,-177,30,36,$100,$162,$0,,,,,,,,,
7/1/2016,San-Francisco-Giants,Arizona-Diamondbacks,59.0%,-144,144,-167,152,23,37,$100,$152,$0,,,,,,,,,
7/1/2016,Pittsburgh-Pirates,Oakland-Athletics,50.4%,-102,102,144,-155,46,38,$100,$144,$244,$100,$144,$244,$100,$144,$244,$100,$144,$244
7/1/2016,Baltimore-Orioles,Seattle-Mariners,54.4%,-119,119,-114,104,5,39,$100,$87.8,$0,$100,$87.8,$0,,,,,,
7/1/2016,Colorado-Rockies,Los-Angeles-Dodgers,-54.0%,117,-117,160,-175,43,40,$100,$160,$0,,,,,,,,,
7/1/2016,New-York-Yankees,San-Diego-Padres,53.2%,-114,114,-137,127,23,41,$100,$127,$227,,,,,,,,,
,,,,,,,,,,$1500,-$228.1,-15.2%,$800,$244.9,30.61%,$300,$367,122.33%,$400,$253.1,63.3%
7/2/2016,Cleveland-Indians,Tonronto-Blue-Jays,56.4%,-129,129,,,,,,,,,,,,,,,,
7/2/2016,Texas-Rangers,Minnesota-Twins,61.5%,-160,160,-105,-115,55,75,$100,$95,$0,$100,$95,$0,,,,$100,$95,$0
7/2/2016,Milwaukee-Brewers,St.-Louis-Cardinals,-57.4%,135,-135,158,-178,23,43,$100,$158,$0,,,,,,,,,
7/2/2016,Detroit-Tigers,Tampa-Bay-Rays,55.5%,-125,125,-125,105,0,20,$100,$77,$177,,,,,,,,,
7/2/2016,Chicago-White-Sox,Houston-Astros,-57.0%,133,-133,-110,-110,43,23,$100,$91,$0,$100,$91,$0,,,,,,
7/2/2016,Miami-Marlins,Atlanta-Braves,58.6%,-142,142,-270,230,128,88,$100,$230,$330,,,,,,,$100,$230,$330
7/2/2016,Kansas-City-Royals,Philadelphia-Phillies,56.0%,-127,127,-130,110,3,17,$100,$77,$177,$100,$77,$177,,,,,,
7/2/2016,Chicago-Cubs,New-York-Mets,-57.0%,133,-133,-190,165,123,98,$100,$165,$265,$100,$165,$265,$100,$165,$265,$100,$165,$265
7/2/2016,Cincinnati-Reds,Washington-Nationals,-61.0%,158,-158,170,-200,12,42,$100,$170,$270,,,,,,,,,
7/2/2016,Los-Angeles-Angels,Boston-Red-Sox,-58.0%,137,-137,140,-160,3,23,$100,$140,$240,,,,,,,,,
7/2/2016,Pittsburgh-Pirates,Oakland-Athletics,53.6%,-115,115,135,-155,50,70,$100,$135,$235,$100,$135,$235,$100,$135,$235,$100,$135,$235
7/2/2016,Colorado-Rockies,Los-Angeles-Dodgers,-55.5%,125,-125,165,-190,40,65,$100,$165,$0,,,,,,,,,
7/2/2016,San-Francisco-Giants,Arizona-Diamondbacks,59.5%,-147,147,-110,-110,37,57,$100,$91,$0,$100,$91,$0,,,,,,
7/2/2016,New-York-Yankees,San-Diego-Padres,52.9%,-112,112,105,-125,17,37,$100,$105,$0,$100,$105,$0,$100,$105,$0,,,
7/2/2016,Baltimore-Orioles,Seattle-Mariners,53.0%,-113,113,125,-145,38,58,$100,$125,$0,$100,$125,$0,$100,$125,$0,,,
,,,,,,,,,,$1400,$294,21.0%,$800,-$123,-15.38%,$400,$100,25%,$400,$430,107.5%
7/3/2016,Cleveland-Indians,Tonronto-Blue-Jays,55.0%,-120,120,-135,115,,,,,,,,,,,,,,
