date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
1/15/2011,houston-rockets,atlanta-hawks,-72.86%,268,-268,337,-454,69,186,$100,$22.03,$0,$100,$22.03,$0,$100,$337.00,$437.00,,,,,,,,,
1/15/2011,new-orleans-pelicans,charlotte-hornets,61.29%,-158,158,133,-163,91,121,$100,$133.00,$233.00,$100,$61.35,$0,$100,$133.00,$233.00,$100,$133.00,$233.00,$100,$133.00,$233.00,,,
1/15/2011,miami-heat,chicago-bulls,-51.25%,105,-105,117,-142,12,37,$100,$70.42,$170.42,$100,$70.42,$170.42,$100,$117.00,$0,,,,,,,,,
1/15/2011,dallas-mavericks,memphis-grizzlies,-50.05%,100,-100,171,-204,71,104,$100,$49.02,$149.02,$100,$49.02,$149.02,$100,$171.00,$0,,,,,,,,,
1/15/2011,sacramento-kings,detroit-pistons,-64.68%,183,-183,164,-200,19,17,$100,$50.00,$150.00,$100,$50.00,$150.00,,,,,,,,,,,,
1/15/2011,toronto-raptors,washington-wizards,-55.09%,123,-123,175,-217,52,94,$100,$46.08,$146.08,$100,$46.08,$146.08,$100,$175.00,$0,,,,,,,,,
,,,,,,,,,,$600,$248.53,41.42%,$600,$15.53,2.59%,$500,$170.00,34.00%,$100,$133.00,133.00%,$100,$133.00,133.00%,$0,$0.00,0%
1/17/2011,sacramento-kings,atlanta-hawks,-79.09%,378,-378,412,-588,34,10,$100,$17.01,$117.01,$100,$17.01,$117.01,$100,$412.00,$0,,,,,,,,,
1/17/2011,orlando-magic,boston-celtics,-67.12%,204,-204,133,-161,71,43,$100,$62.11,$162.11,$100,$62.11,$162.11,$100,$62.11,$162.11,$100,$62.11,$162.11,,,,,,
1/17/2011,oklahoma-city-thunder,los-angeles-lakers,-62.42%,166,-166,173,-212,7,46,$100,$47.17,$147.17,$100,$47.17,$147.17,$100,$173.00,$0,,,,,,,,,
1/17/2011,minnesota-timberwolves,portland-trail-blazers,-80.38%,410,-410,283,-370,127,40,$100,$27.03,$127.03,$100,$27.03,$127.03,$100,$27.03,$127.03,$100,$27.03,$127.03,,,,,,
,,,,,,,,,,$400,$153.32,38.33%,$400,$153.32,38.33%,$400,-$110.86,-27.72%,$200,$89.14,44.57%,$0,$0.00,0%,$0,$0.00,0%
1/19/2011,detroit-pistons,boston-celtics,-82.53%,472,-472,736,-1249,64,577,$100,$8.01,$108.01,$100,$8.01,$108.01,$100,$736.00,$0,,,,,,,,,
1/19/2011,utah-jazz,brooklyn-nets,70.45%,-238,238,-294,233,56,5,$100,$34.01,$0,$100,$34.01,$0,,,,,,,,,,,,
1/19/2011,phoenix-suns,cleveland-cavaliers,72.24%,-260,260,-344,272,84,12,$100,$29.07,$129.07,$100,$29.07,$129.07,$100,$272.00,$0,,,,,,,,,
1/19/2011,los-angeles-lakers,dallas-mavericks,70.49%,-239,239,-156,129,83,110,$100,$64.10,$0,$100,$64.10,$0,$100,$64.10,$0,$100,$64.10,$0,,,,,,
1/19/2011,oklahoma-city-thunder,denver-nuggets,-61.70%,161,-161,137,-169,24,8,$100,$59.17,$159.17,$100,$59.17,$159.17,,,,,,,,,,,,
1/19/2011,indiana-pacers,golden-state-warriors,-67.34%,206,-206,170,-212,36,6,$100,$47.17,$147.17,$100,$47.17,$147.17,,,,,,,,,,,,
1/19/2011,new-york-knicks,houston-rockets,-50.43%,102,-102,114,-140,12,38,$100,$71.43,$171.43,$100,$71.43,$171.43,$100,$114.00,$0,,,,,,,,,
1/19/2011,minnesota-timberwolves,los-angeles-clippers,-73.99%,284,-284,235,-294,49,10,$100,$34.01,$134.01,$100,$34.01,$134.01,,,,,,,,,,,,
1/19/2011,memphis-grizzlies,new-orleans-pelicans,-66.58%,199,-199,142,-172,57,27,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$58.14,$158.14,,,,,,
1/19/2011,washington-wizards,milwaukee-bucks,-72.03%,258,-258,209,-263,49,5,$100,$38.02,$138.02,$100,$38.02,$138.02,,,,,,,,,,,,
1/19/2011,philadelphia-76ers,orlando-magic,-69.69%,230,-230,405,-555,175,125,$100,$18.02,$118.02,$100,$18.02,$118.02,$100,$405.00,$0,,,,,,,$100,$405.00,$0
1/19/2011,portland-trail-blazers,sacramento-kings,64.62%,-183,183,-120,-101,63,84,$100,$83.33,$183.33,$100,$83.33,$183.33,$100,$83.33,$183.33,$100,$83.33,$183.33,,,,,,
1/19/2011,toronto-raptors,san-antonio-spurs,-82.92%,485,-485,794,-1428,109,743,$100,$7.00,$107.00,$100,$7.00,$107.00,$100,$794.00,$0,,,,,,,$100,$794.00,$0
,,,,,,,,,,$1300,$253.38,19.49%,$1300,$253.38,19.49%,$800,-$458.53,-57.32%,$300,$41.47,13.82%,$0,$0.00,0%,$200,-$200.00,-100.00%
1/20/2011,philadelphia-76ers,charlotte-hornets,-63.73%,176,-176,159,-196,17,20,$100,$51.02,$151.02,$100,$51.02,$151.02,,,,,,,,,,,,
1/20/2011,dallas-mavericks,chicago-bulls,-64.93%,185,-185,131,-163,54,22,$100,$61.35,$161.35,$100,$61.35,$161.35,$100,$61.35,$161.35,$100,$61.35,$161.35,,,,,,
1/20/2011,los-angeles-clippers,portland-trail-blazers,-72.03%,258,-258,131,-161,127,97,$100,$62.11,$162.11,$100,$62.11,$162.11,$100,$62.11,$162.11,$100,$62.11,$162.11,,,,,,
,,,,,,,,,,$300,$174.48,58.16%,$300,$174.48,58.16%,$200,$123.46,61.73%,$200,$123.46,61.73%,$0,$0.00,0%,$0,$0.00,0%
1/21/2011,new-orleans-pelicans,atlanta-hawks,-64.04%,178,-178,149,-178,29,0,$100,$56.18,$0,$100,$56.18,$0,,,,,,,,,,,,
1/21/2011,utah-jazz,boston-celtics,-67.12%,204,-204,212,-263,8,59,$100,$38.02,$138.02,$100,$38.02,$138.02,$100,$212.00,$0,,,,,,,,,
1/21/2011,detroit-pistons,brooklyn-nets,-54.67%,121,-121,112,-135,9,14,$100,$74.07,$174.07,$100,$74.07,$174.07,,,,,,,,,,,,
1/21/2011,milwaukee-bucks,cleveland-cavaliers,74.61%,-294,294,-294,236,0,58,$100,$34.01,$134.01,$100,$34.01,$134.01,,,,,,,,,,,,
1/21/2011,los-angeles-lakers,denver-nuggets,-51.77%,107,-107,-112,-108,19,1,$100,$92.59,$0,$100,$89.29,$189.29,,,,,,,,,,,,
1/21/2011,sacramento-kings,golden-state-warriors,-73.99%,284,-284,225,-285,59,1,$100,$35.09,$135.09,$100,$35.09,$135.09,,,,,,,,,,,,
1/21/2011,houston-rockets,memphis-grizzlies,-59.96%,150,-150,140,-172,10,22,$100,$58.14,$158.14,$100,$58.14,$158.14,,,,,,,,,,,,
1/21/2011,new-york-knicks,san-antonio-spurs,-75.06%,301,-301,378,-500,77,199,$100,$20.00,$120.00,$100,$20.00,$120.00,$100,$378.00,$0,,,,,,,,,
1/21/2011,toronto-raptors,orlando-magic,-75.12%,302,-302,856,-1428,354,926,$100,$7.00,$107.00,$100,$7.00,$107.00,$100,$856.00,$0,,,,,,,$100,$856.00,$0
1/21/2011,phoenix-suns,washington-wizards,-50.25%,101,-101,-108,-112,9,11,$100,$89.29,$0,$100,$89.29,$0,,,,,,,,,,,,
,,,,,,,,,,$1000,-$33.66,-3.37%,$1000,$155.63,15.56%,$300,-$300.00,-100.00%,$0,$0.00,0%,$0,$0.00,0%,$100,-$100.00,-100.00%
1/22/2011,atlanta-hawks,charlotte-hornets,62.09%,-164,164,127,-151,91,115,$100,$127.00,$227.00,$100,$66.23,$0,$100,$127.00,$227.00,$100,$127.00,$227.00,$100,$127.00,$227.00,,,
1/22/2011,boston-celtics,washington-wizards,78.66%,-369,369,-294,236,75,133,$100,$34.01,$0,$100,$34.01,$0,$100,$34.01,$0,$100,$34.01,$0,,,,,,
1/22/2011,dallas-mavericks,brooklyn-nets,68.39%,-216,216,-217,175,1,41,$100,$46.08,$146.08,$100,$46.08,$146.08,,,,,,,,,,,,
1/22/2011,cleveland-cavaliers,chicago-bulls,-88.54%,773,-773,1220,-2499,247,1526,$100,$4.00,$104.00,$100,$4.00,$104.00,$100,$1220.00,$0,,,,,,,$100,$1220.00,$0
1/22/2011,phoenix-suns,detroit-pistons,51.19%,-105,105,-128,104,23,1,$100,$78.13,$0,$100,$78.13,$0,,,,,,,,,,,,
1/22/2011,golden-state-warriors,los-angeles-clippers,-64.68%,183,-183,309,-416,126,33,$100,$24.04,$124.04,$100,$24.04,$124.04,$100,$309.00,$0,,,,,,,$100,$309.00,$0
1/22/2011,orlando-magic,houston-rockets,63.84%,-177,177,-156,129,21,48,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$64.10,$164.10,,,,,,
1/22/2011,indiana-pacers,portland-trail-blazers,-76.34%,323,-323,197,-243,126,80,$100,$41.15,$141.15,$100,$41.15,$141.15,$100,$41.15,$141.15,$100,$41.15,$141.15,,,,,,
1/22/2011,memphis-grizzlies,milwaukee-bucks,-52.59%,111,-111,118,-142,7,31,$100,$70.42,$0,$100,$70.42,$0,$100,$118.00,$218.00,,,,,,,,,
1/22/2011,toronto-raptors,miami-heat,-79.20%,381,-381,678,-1111,97,530,$100,$9.00,$109.00,$100,$9.00,$109.00,$100,$678.00,$0,,,,,,,,,
1/22/2011,san-antonio-spurs,new-orleans-pelicans,62.03%,-163,163,-125,102,38,61,$100,$80.00,$0,$100,$80.00,$0,$100,$80.00,$0,$100,$80.00,$0,,,,,,
1/22/2011,new-york-knicks,oklahoma-city-thunder,-66.05%,195,-195,318,-416,123,21,$100,$24.04,$124.04,$100,$24.04,$124.04,$100,$318.00,$0,,,,,,,$100,$318.00,$0
1/22/2011,utah-jazz,philadelphia-76ers,54.65%,-121,121,106,-129,27,50,$100,$106.00,$0,$100,$77.52,$177.52,$100,$106.00,$0,$100,$106.00,$0,$100,$106.00,$0,,,
,,,,,,,,,,$1300,-$160.58,-12.35%,$1300,-$210.06,-16.16%,$1100,-$349.75,-31.80%,$600,-$67.75,-11.29%,$200,$27.00,13.50%,$300,-$300.00,-100.00%
1/24/2011,cleveland-cavaliers,brooklyn-nets,-70.93%,244,-244,407,-555,163,111,$100,$18.02,$118.02,$100,$18.02,$118.02,$100,$407.00,$0,,,,,,,$100,$407.00,$0
1/24/2011,milwaukee-bucks,chicago-bulls,-75.06%,301,-301,256,-333,45,32,$100,$30.03,$130.03,$100,$30.03,$130.03,,,,,,,,,,,,
1/24/2011,detroit-pistons,orlando-magic,-78.92%,374,-374,752,-1249,178,675,$100,$8.01,$0,$100,$8.01,$0,$100,$752.00,$852.00,,,,,,,$100,$752.00,$852.00
1/24/2011,san-antonio-spurs,golden-state-warriors,73.59%,-279,279,-222,177,57,102,$100,$45.05,$145.05,$100,$45.05,$145.05,$100,$45.05,$145.05,$100,$45.05,$145.05,,,,,,
1/24/2011,houston-rockets,minnesota-timberwolves,63.30%,-172,172,-151,125,21,47,$100,$66.23,$166.23,$100,$66.23,$166.23,$100,$66.23,$166.23,$100,$66.23,$166.23,,,,,,
1/24/2011,memphis-grizzlies,toronto-raptors,64.98%,-186,186,-217,177,31,9,$100,$46.08,$146.08,$100,$46.08,$146.08,,,,,,,,,,,,
1/24/2011,oklahoma-city-thunder,new-orleans-pelicans,-64.12%,179,-179,141,-172,38,7,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$58.14,$158.14,,,,,,
1/24/2011,washington-wizards,new-york-knicks,-78.95%,375,-375,278,-370,97,5,$100,$27.03,$127.03,$100,$27.03,$127.03,$100,$27.03,$127.03,$100,$27.03,$127.03,,,,,,
1/24/2011,phoenix-suns,philadelphia-76ers,-61.24%,158,-158,156,-188,2,30,$100,$53.19,$153.19,$100,$53.19,$153.19,,,,,,,,,,,,
1/24/2011,sacramento-kings,portland-trail-blazers,-79.92%,398,-398,252,-322,146,76,$100,$31.06,$0,$100,$31.06,$0,$100,$31.06,$0,$100,$31.06,$0,,,,,,
,,,,,,,,,,$1000,$143.76,14.38%,$1000,$143.76,14.38%,$700,$748.44,106.92%,$500,$96.44,19.29%,$0,$0.00,0%,$200,$652.00,326.00%
1/25/2011,cleveland-cavaliers,boston-celtics,-90.51%,954,-954,1458,-4999,304,3845,$100,$2.00,$102.00,$100,$2.00,$102.00,$100,$1458.00,$0,,,,,,,$100,$1458.00,$0
1/25/2011,charlotte-hornets,sacramento-kings,59.39%,-146,146,-101,-120,45,66,$100,$99.01,$199.01,$100,$83.33,$0,$100,$99.01,$199.01,$100,$99.01,$199.01,,,,,,
1/25/2011,los-angeles-clippers,dallas-mavericks,-68.71%,220,-220,250,-322,30,102,$100,$31.06,$131.06,$100,$31.06,$131.06,$100,$250.00,$0,,,,,,,,,
1/25/2011,denver-nuggets,washington-wizards,50.05%,-100,100,-204,167,104,67,$100,$49.02,$149.02,$100,$49.02,$149.02,$100,$167.00,$0,,,,,,,,,
1/25/2011,utah-jazz,los-angeles-lakers,-68.55%,218,-218,333,-434,115,16,$100,$23.04,$123.04,$100,$23.04,$123.04,$100,$333.00,$0,,,,,,,$100,$333.00,$0
,,,,,,,,,,$500,$204.13,40.83%,$500,$5.12,1.02%,$500,-$300.99,-60.20%,$100,$99.01,99.01%,$0,$0.00,0%,$200,-$200.00,-100.00%
1/26/2011,atlanta-hawks,milwaukee-bucks,63.43%,-173,173,-129,108,44,65,$100,$77.52,$0,$100,$77.52,$0,$100,$77.52,$0,$100,$77.52,$0,,,,,,
1/26/2011,memphis-grizzlies,brooklyn-nets,62.76%,-169,169,-166,137,3,32,$100,$60.24,$0,$100,$60.24,$0,$100,$60.24,$0,$100,$60.24,$0,,,,,,
1/26/2011,charlotte-hornets,phoenix-suns,-59.35%,146,-146,239,-303,93,157,$100,$33.00,$0,$100,$33.00,$0,$100,$239.00,$339.00,,,,,,,,,
1/26/2011,denver-nuggets,detroit-pistons,50.58%,-102,102,-128,104,26,2,$100,$78.13,$178.13,$100,$78.13,$178.13,$100,$104.00,$0,,,,,,,,,
1/26/2011,new-orleans-pelicans,golden-state-warriors,64.54%,-182,182,-125,102,57,80,$100,$80.00,$180.00,$100,$80.00,$180.00,$100,$80.00,$180.00,$100,$80.00,$180.00,,,,,,
1/26/2011,los-angeles-clippers,houston-rockets,-61.79%,162,-162,325,-434,163,72,$100,$23.04,$123.04,$100,$23.04,$123.04,$100,$325.00,$0,,,,,,,$100,$325.00,$0
1/26/2011,orlando-magic,indiana-pacers,67.31%,-206,206,-243,195,37,11,$100,$41.15,$141.15,$100,$41.15,$141.15,,,,,,,,,,,,
1/26/2011,oklahoma-city-thunder,minnesota-timberwolves,69.98%,-233,233,-243,192,10,41,$100,$41.15,$141.15,$100,$41.15,$141.15,,,,,,,,,,,,
1/26/2011,philadelphia-76ers,toronto-raptors,53.28%,-114,114,-169,141,55,27,$100,$59.17,$159.17,$100,$59.17,$159.17,$100,$141.00,$0,,,,,,,,,
1/26/2011,san-antonio-spurs,utah-jazz,68.14%,-214,214,-172,139,42,75,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$58.14,$158.14,,,,,,
